zip,locality,canton
3472,"Affoltern im Emmental,Alchenstorf,Burgdorf,Ersigen,Heimiswil,Kirchberg (BE),Rumendingen,Seeberg,Wynigen",BE
3473,"Alchenstorf,Ersigen,Hellsau,Höchstetten,Koppigen,Rumendingen,Seeberg,Wynigen",BE
3474,"Ochlenberg,Oeschenbach,Seeberg,Wynigen",BE
3476,"Bettenhausen,Ochlenberg,Oeschenbach,Seeberg,Thörigen,Ursenbach,Wynigen",BE
3503,"Grosshöchstetten,Konolfingen,Münsingen",BE
3504,"Bowil,Freimettigen,Konolfingen,Linden,Mirchel,Niederhünigen,Oberhünigen,Zäziwil",BE
3506,"Arni (BE),Biglen,Grosshöchstetten,Konolfingen,Mirchel,Oberthal,Zäziwil",BE
3507,"Arni (BE),Biglen,Grosshöchstetten,Walkringen,Worb",BE
3508,"Arni (BE),Biglen,Grosshöchstetten,Landiswil,Oberthal,Walkringen",BE
3510,"Freimettigen,Grosshöchstetten,Häutligen,Konolfingen,Linden,Mirchel,Münsingen,Niederhünigen,Oberdiessbach,Wichtrach",BE
3512,"Arni (BE),Biglen,Landiswil,Vechigen,Walkringen,Worb",BE
3513,"Hasle bei Burgdorf,Lützelflüh,Vechigen,Walkringen",BE
3531,"Arni (BE),Bowil,Lauperswil,Oberthal,Signau,Zäziwil",BE
3532,"Bowil,Grosshöchstetten,Konolfingen,Mirchel,Niederhünigen,Oberhünigen,Oberthal,Zäziwil",BE
3533,"Bowil,Linden,Oberhünigen,Oberthal,Röthenbach im Emmental,Signau,Zäziwil",BE
3534,"Bowil,Eggiwil,Lauperswil,Oberthal,Röthenbach im Emmental,Signau",BE
3535,"Eggiwil,Langnau im Emmental,Lauperswil,Signau",BE
3536,"Eggiwil,Langnau im Emmental,Signau",BE
3538,"Bowil,Buchholterberg,Eggiwil,Linden,Röthenbach im Emmental,Signau,Wachseldorn",BE
3543,"Arni (BE),Landiswil,Langnau im Emmental,Lauperswil,Oberthal,Signau",BE
3550,"Eggiwil,Langnau im Emmental,Lauperswil,Signau,Trubschachen",BE
3551,"Langnau im Emmental,Lauperswil,Trachselwald",BE
3552,"Langnau im Emmental,Trub,Trubschachen",BE
3553,"Langnau im Emmental,Sumiswald,Trachselwald,Trub",BE
3600,"Hilterfingen,Steffisburg,Thun,Thunersee",BE
3603,"Thierachern,Thun,Uetendorf",BE
3604,"Thun,Thunersee",BE
3608,"Amsoldingen,Reutigen,Thierachern,Thun",BE
3612,"Fahrni,Heimberg,Homberg,Steffisburg,Thun",BE
3613,"Heimberg,Steffisburg,Thun,Uetendorf",BE
3614,"Buchholterberg,Fahrni,Homberg,Horrenbach-Buchen,Oberlangenegg,Unterlangenegg",BE
3615,"Buchholterberg,Fahrni,Linden,Oberdiessbach,Röthenbach im Emmental,Unterlangenegg,Wachseldorn",BE
3616,"Buchholterberg,Eriz,Horrenbach-Buchen,Oberlangenegg,Röthenbach im Emmental,Teuffenthal (BE),Unterlangenegg,Wachseldorn",BE
3617,"Buchholterberg,Fahrni,Heimberg,Homberg,Oberdiessbach,Steffisburg,Unterlangenegg",BE
3618,"Buchholterberg,Eggiwil,Eriz,Oberlangenegg,Röthenbach im Emmental,Unterlangenegg,Wachseldorn",BE
3619,"Beatenberg,Eriz,Habkern,Horrenbach-Buchen,Oberlangenegg,Röthenbach im Emmental,Schangnau,Sigriswil,Teuffenthal (BE)",BE
3622,"Fahrni,Heiligenschwendi,Homberg,Horrenbach-Buchen,Steffisburg,Teuffenthal (BE),Thun,Unterlangenegg",BE
3623,"Eriz,Heiligenschwendi,Homberg,Horrenbach-Buchen,Sigriswil,Teuffenthal (BE),Unterlangenegg",BE
